0,80,-80,0,0,0,0,6.5,0,0
0,77,-78.5,0,0,0,0,6.5,0,0
0,74,-78.5,0,0,0,0,13,0,0
0,71,-75.5,0,0,0,0,15.5,0,0
0,68,-74,0,0,0,0,18.5,0,0
0,65,-72.5,0,0,0,0,21.75,0,0
0,62,-71,0,0,0,0,25,0,0
0,59,-69.5,0,0,0,-6.5,28.25,0,0
0,56,-68,0,0,0,-6.5,31.5,0,0
0,53,-66.5,0,0,0,-13,34.75,0,0
0,50,-65,0,0,0,-15.5,38,0,0
0,47,-64.5,0,0,0,-18.5,41.25,0,0
0,44,-62,0,0,0,-21.75,44.5,0,0
0,47,-64.5,0,0,0,-18.5,41.25,0,0
0,50,-65,0,0,0,-15.5,38,0,0
0,53,-66.5,0,0,0,-13,34.75,0,0
0,56,-68,0,0,0,-9.75,31.5,0,0
0,59,-69.5,0,0,0,-6.5,28.25,0,0
0,62,-71,0,0,0,0,25,0,0
0,65,-72.5,0,0,0,0,21.75,0,0
0,68,-74,0,0,0,0,18.5,0,0
0,71,-75.5,0,0,0,0,15.5,0,0
0,74,-77,0,0,0,0,13,0,0
0,77.5,-78.5,0,0,0,0,9.75,0,0
0,80,-80,0,0,0,0,6.5,0,0
